Year,Pig Manure (t),Cassava (t),Fish waste water (t),Kitchen food waste (t),Municipal fecal residue (t),Tea waste (t),Chicken litter (t),Bagasse feed (t),Alcohol waste (t),Chinese medicine waste (t),Energy grass (t),Banana fruit shafts (t),Lemon waste (t),Percolate (t),Other waste (t),Raw Biogas Produced (m3)
2014,9.32,0,0,0,0,0,0,25,0,0,0,0,0,0,0,4716
2014,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,1138
2014,4.24,0,0,0,0,0,0,20,0,0,0,0,0,0,0,3715
2014,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,4522
2014,8.2,0,0,0,0,0,0,30,0,0,0,0,0,0,0,4973
2014,10.75,0,0,0,0,0,0,30,0,0,0,0,0,0,0,5083
2014,9.52,0,0,0,0,0,0,30,0,0,0,0,0,0,0,5540
2014,10.32,0,0,0,0,0,0,30,0,0,0,0,0,0,0,5455
2014,2.96,0,0,0,0,0,0,22,0,0,0,0,0,0,0,5609
2014,3.18,0,0,0,0,0,0,14,0,0,0,0,0,0,0,5751
2014,4.08,0,0,0,0,0,0,23,0,0,0,0,0,0,0,5777
2014,3.44,0,0,0,0,0,0,30,0,0,0,0,0,0,0,6570
2014,9.3,0,0,0,0,0,0,30,0,0,0,0,0,0,0,5854
2014,10.3,0,0,0,0,0,0,25,0,0,0,0,0,0,0,6027
2014,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,6101
2014,3.22,0,8.26,0,0,0,0,30,0,0,0,0,0,0,0,6213
2014,3.1,0,0,0,0,0,0,25,0,0,0,0,0,0,0,5726
2014,4.96,0,0,0,0,0,0,20,0,0,0,0,0,0,0,5048
2014,11.3,0,0,0,0,0,0,20,0,0,0,0,0,0,0,5253
2014,3.08,0,0,0,0,0,0,11,0,0,0,0,0,0,0,4492
2014,6.52,0,0,0,0,0,0,27,0,0,0,0,0,0,0,4188
2014,3.12,0,0,0,0,0,0,33,0,0,0,0,0,0,0,4361
2014,2.96,0,10,0,0,0,0,25,0,0,0,0,0,0,0,3978
2014,3.14,0,20,0,0,0,0,20,0,0,0,0,0,0,0,5447
2014,6.98,0,17.76,0,0,0,0,26,0,0,0,0,0,0,0,5861
2014,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,4437
2014,4.44,0,15,0,0,0,0,40,0,0,0,0,0,0,0,5116
2014,3.14,0,15,0,0,0,0,34,0,0,0,0,0,0,0,5397
2014,8.2,0,16.48,0,0,0,0,35,0,0,0,0,0,0,0,4555
2014,3.1,0,0,0,0,0,0,31,0,0,0,0,0,0,0,5155
2014,11.54,0,30,0,0,0,0,35,0,0,0,0,0,0,0,6231
2014,6.32,0,15.38,0,0,0,0,26,0,0,0,0,0,0,0,5967
